CustomerID,Annual Income (k$),Spending Score (1-100)
1,91.34575551055222,31.867792317416153
2,112.97461762841453,69.93800539273049
3,98.3592388893137,38.39743208995561
4,90.8348137895966,18.780764078403845
5,75.07512391405761,3.443194110741792
6,103.96623469866529,7.65771351486161
7,76.88633746415002,68.25988457635816
8,135.9304901016704,45.915987611048486
9,145.27615886513382,54.1213418997635
10,69.8473974473511,89.77045801099386
11,122.9242549507464,99.04355579227374
12,88.75633956787759,22.47280145544892
13,93.8457929422112,66.64474210690997
14,140.32756297804593,27.068915296977913
15,29.234687565725302,3.0444489471071394
16,31.326808961200292,76.079486729778
17,22.628391667242344,32.68169793142432
18,128.24057992123193,38.9629255230179
19,121.16037762348056,59.24339424180697
20,133.1015792720865,83.27379706838285
21,147.22038449025933,63.26920251552372
22,123.89061334817407,87.39241488929213
23,79.99231709288114,28.080661446747943
24,121.46879291723921,80.00663655734381
25,35.37567536296132,19.37795848628927
26,103.1897327725781,95.32637404022252
27,38.63592736317604,69.06133936239371
28,142.8069592164459,22.335260034242285
29,87.84028182750932,94.7896884584035
30,73.90605219876807,73.35472487024562
31,54.392229573601504,26.140222616907558
32,120.65037962644817,22.117885759380716
33,79.29954318815132,52.30187067913566
34,93.89641335292431,3.540609087398626
35,22.44267405672617,21.53953746866983
36,100.29261461986401,43.04386140639912
37,99.57244395391479,38.04282805308833
38,100.2014195937184,46.893967012116256
39,142.68725020690113,28.48524192317846
40,108.63663888345285,59.09165029935871
41,66.73602707459219,86.52170498639991
42,76.81415399391439,12.635653740241276
43,110.69205547054443,52.2205316082573
44,27.82931131180508,14.074742528170178
45,106.6796730079368,71.96910843806677
46,107.18292305036073,40.20991057792208
47,47.34973293959932,56.97670987399239
48,36.76041869513093,19.144703785193784
49,61.0056856201439,15.339928174994347
50,67.28240022254093,49.3175717842465
51,94.12558015432435,36.205661047145604
52,77.01819675010165,94.1027625800285
53,148.48859894769942,76.76720012688956
54,33.265825397243646,75.11769836520418
55,47.15397829232851,90.46825423484741
56,40.97023732504951,9.258821108759836
57,104.90408231050179,55.66705452231825
58,52.927908330171675,58.863130826621116
59,80.62040047131981,96.23170147617567
60,51.77532696020836,29.922605152462335
61,40.66604587391757,24.842049211629234
62,34.348768351359666,10.929100284284283
63,105.32284663048554,2.6265333295559463
64,37.963783675319796,93.02340236242686
65,45.555707018406956,67.3217381125001
66,67.93427218592534,78.73013829029064
67,126.72911988023156,28.891280469640957
68,32.623165853097966,59.05460645244634
69,128.93283797484452,7.331571345977132
70,32.492793026215196,49.077131997527665
71,146.93973045174147,97.77201883470023
72,80.9246562142012,87.7740192863425
73,146.97894146474383,34.477736231847715
74,98.62991756685598,96.19544529960835
75,116.10426532177922,23.938461020649246
76,25.094412993061688,94.98256341915246
77,56.764905134933244,94.19639276594336
78,35.62555295771196,80.12105614788678
79,58.49822567787884,63.41434574981232
80,35.434603464051726,87.55450869586976
81,61.337813321216885,30.009008166271876
82,73.85418928690709,85.04541197597891
83,28.339174525341967,62.169792499834855
84,110.02137551810257,2.3104489181310495
85,93.65818904685477,35.376118275289734
86,54.5006338221279,15.665945233868339
87,88.02224695067096,98.20110959200707
88,32.21226639859742,48.35866039695882
89,94.87304442230331,50.24174518436761
90,140.80850568490783,64.30777912347364
91,61.41396381867207,37.489876006832134
92,106.76334939527862,14.553126896874295
93,37.13372211257098,82.3896555862303
